,alcaldia,consumo_total,consumo_total_dom,consumo_total_no_dom,consumo_total_mixto,consumo_total/TOTAL,consumo_total_dom/TOTAL,consumo_total_no_dom/TOTAL,consumo_total_mixto/TOTAL
0,ALVARO OBREGON,9608502.550000032,6590161.410000009,2492864.0099999965,525476.8799999998,7.969999999999999,8.38,8.04,4.8
1,AZCAPOTZALCO,8969567.320000015,6153754.56003999,1897004.5399999986,918808.6700000006,7.4399999999999995,7.829999999999999,6.12,8.39
2,BENITO JUAREZ,13780118.64000001,9894930.861000014,2815269.570999997,1069917.9000000015,11.43,12.58,9.08,9.78
3,COYOACAN,7687908.29,5128303.190000005,2209569.069999999,350036.3199999999,6.38,6.52,7.13,3.2
4,CUAJIMALPA,2947514.229999998,2064264.120000002,736118.4600000008,147131.72999999984,2.44,2.63,2.37,1.34
5,CUAUHTEMOC,18650818.439999998,10346113.158999976,6074370.831000006,2230334.040000002,15.47,13.16,19.59,20.380000000000003
6,GUSTAVO A. MADERO,13480100.569999918,9196449.150000004,2740658.660000016,1542992.7899999993,11.18,11.700000000000001,8.84,14.099999999999998
7,IZTACALCO,6260630.650999986,4663497.740999998,909975.2299999989,687157.6300000005,5.19,5.93,2.93,6.279999999999999
8,IZTAPALAPA,8313290.279999971,5263019.96999999,2213018.590000009,837251.5999999968,6.890000000000001,6.69,7.140000000000001,7.6499999999999995
9,MAGDALENA CONTRERAS,1271477.5599999998,844966.4799999999,361492.27999999985,65018.719999999994,1.05,1.0699999999999998,1.17,0.59
10,MIGUEL HIDALGO,14490397.150000015,8640462.958999997,4687309.45999999,1162625.379999999,12.02,10.99,15.120000000000001,10.620000000000001
11,MILPA ALTA,160696.95999999996,72507.08999999998,57215.67000000001,30974.200000000023,0.13,0.09,0.18,0.27999999999999997
12,TLAHUAC,856689.1999999987,601802.3499999997,163625.63,91261.24000000006,0.7100000000000001,0.77,0.53,0.83
13,TLALPAN,5005525.270000001,2877268.739999998,1950976.2900000007,177280.25000000003,4.15,3.66,6.29,1.6199999999999999
14,VENUSTIANO CARRANZA,7093249.441000011,5007007.890999992,1210723.0399999998,875518.4699999997,5.88,6.370000000000001,3.9,8.0
15,XOCHIMILCO,2001642.649999999,1283415.0100000007,484568.77000000037,233658.7300000003,1.66,1.63,1.5599999999999998,2.13
