"","X","alcaldia_x","colonia_x","consumo_total","alcaldia_colonia","alcaldia_y","colonia_y","geo_point_2d","lat","lon"
"465",20244,"CUAUHTEMOC","ALGARIN",172853.47,"CUAUHTEMOC ALGARIN","CUAUHTEMOC","ALGARIN","19.4069139814,-99.1382700162",19.4069139814,-99.1382700162
"466",20338,"CUAUHTEMOC","AMPLIACION ASTURIAS",128810.37,"CUAUHTEMOC AMPLIACION ASTURIAS","CUAUHTEMOC","AMPLIACION ASTURIAS","19.4076733825,-99.1342084872",19.4076733825,-99.1342084872
"467",20450,"CUAUHTEMOC","ASTURIAS",88359.76,"CUAUHTEMOC ASTURIAS","CUAUHTEMOC","ASTURIAS","19.4059529478,-99.1269900026",19.4059529478,-99.1269900026
"468",20530,"CUAUHTEMOC","ATLAMPA",344106.14,"CUAUHTEMOC ATLAMPA","CUAUHTEMOC","ATLAMPA","19.4578308818,-99.1589001929",19.4578308818,-99.1589001929
"469",20673,"CUAUHTEMOC","BUENAVISTA",502308.9,"CUAUHTEMOC BUENAVISTA","CUAUHTEMOC","BUENAVISTA","19.4505068019,-99.1470037816",19.4505068019,-99.1470037816
"470",20815,"CUAUHTEMOC","BUENOS AIRES",130899.13,"CUAUHTEMOC BUENOS AIRES","CUAUHTEMOC","BUENOS AIRES","19.4063747571,-99.1452630982",19.4063747571,-99.1452630982
"471",20887,"CUAUHTEMOC","CENTRO",2976648.52,"CUAUHTEMOC CENTRO","CUAUHTEMOC","CENTRO","19.4248977373,-99.1263883189",19.4248977373,-99.1263883189
"472",22026,"CUAUHTEMOC","CONDESA",325428.18,"CUAUHTEMOC CONDESA","CUAUHTEMOC","CONDESA","19.4160936681,-99.1767167046",19.4160936681,-99.1767167046
"473",22216,"CUAUHTEMOC","CUAUHTEMOC",750166.45,"CUAUHTEMOC CUAUHTEMOC","CUAUHTEMOC","CUAUHTEMOC","19.4262827733,-99.1751033802",19.4262827733,-99.1751033802
"474",22512,"CUAUHTEMOC","DOCTORES",2037604.9,"CUAUHTEMOC DOCTORES","CUAUHTEMOC","DOCTORES","19.4173860758,-99.1442298924",19.4173860758,-99.1442298924
"475",23002,"CUAUHTEMOC","ESPERANZA",119315.81,"CUAUHTEMOC ESPERANZA","CUAUHTEMOC","ESPERANZA","19.4229939405,-99.1289066454",19.4229939405,-99.1289066454
"476",23036,"CUAUHTEMOC","EX HIPODROMO DE PERALVILLO",156795.23,"CUAUHTEMOC EX HIPODROMO DE PERALVILLO","CUAUHTEMOC","EX HIPODROMO DE PERALVILLO","19.4576572742,-99.1308201832",19.4576572742,-99.1308201832
"477",23222,"CUAUHTEMOC","FELIPE PESCADOR",33227.75,"CUAUHTEMOC FELIPE PESCADOR","CUAUHTEMOC","FELIPE PESCADOR","19.4534950058,-99.1292253599",19.4534950058,-99.1292253599
"478",23261,"CUAUHTEMOC","GUERRERO",1129436.91,"CUAUHTEMOC GUERRERO","CUAUHTEMOC","GUERRERO","19.4469097701,-99.1427233583",19.4469097701,-99.1427233583
